StockCode,Avg_Sales,Std_Dev,Max_Sales,CV,UnitPrice,Description,Avg_Revenue,Label
10002,63.30769230769231,111.94967962987106,337,1.7683424485884858,0.85,INFLATABLE POLITICAL GLOBE ,53.81153846153846,0
10080,22.384615384615383,31.47363569068155,91,1.4060387078311347,0.41190476190476194,GROOVY CACTUS INFLATABLE,9.22032967032967,0
10120,14.76923076923077,15.812199120477867,49,1.0706176487823555,0.21,DOGGY RUBBER,3.101538461538462,1
10123C,0.38461538461538464,1.1208970766356097,4,2.914332399252585,0.65,HEARTS WRAPPING TAPE ,0.25,0
10124A,1.2307692307692308,1.9644272343292228,5,1.5960971278924934,0.42000000000000004,SPOTS ON RED BOOKCOVER TAPE,0.516923076923077,0
10124G,1.3076923076923077,2.056883378018606,5,1.5729108184848164,0.42,ARMY CAMO BOOKCOVER TAPE,0.5492307692307692,0
10125,94.23076923076923,64.85387915171799,210,0.6882452481406808,0.7817460317460317,MINI FUNKY DESIGN TAPES,73.66452991452991,1
10133,182.53846153846155,237.56389154099696,662,1.301445676372929,0.5292622950819672,COLOURING PENCILS BROWN TUBE,96.61072509457756,3
10135,148.92307692307693,125.07162050765257,400,0.839840426962543,1.1968067226890755,COLOURING PENCILS BROWN TUBE,178.2321396250808,3
11001,96.3076923076923,124.89487887511949,498,1.2968318094061928,1.851875,ASSTD DESIGN RACING CAR PEN,178.34980769230768,3
15030,11.0,24.279621084357967,89,2.207238280396179,0.29,FAN BLACK FRAME ,3.19,0
15034,493.7692307692308,589.6506245009489,1788,1.194182601419588,0.13692307692307693,PAPER POCKET TRAVELING FAN ,67.60840236686391,3
15036,1682.7692307692307,1305.52914903282,3888,0.7758218567117691,0.8050153846153846,ASSORTED COLOURS SILK FAN,1354.655119526627,3
15039,119.84615384615384,176.4727770100562,574,1.4724942882738965,0.8362857142857143,SANDALWOOD FAN,100.22562637362637,2
15044A,32.46153846153846,26.74763349225305,87,0.823979230804004,3.017692307692308,PINK PAPER PARASOL ,97.95893491124261,1
15044B,23.615384615384617,32.26592232665516,109,1.3663094144837689,2.9333333333333336,BLUE PAPER PARASOL ,69.27179487179488,1
15044C,20.846153846153847,21.528454635072137,78,1.0327302961473719,2.943333333333334,PURPLE PAPER PARASOL,61.3571794871795,1
15044D,48.38461538461539,43.96691646669964,132,0.9086962067839353,2.9615068493150685,RED PAPER PARASOL,143.2913698630137,1
15056BL,213.76923076923077,151.33635487777653,548,0.7079426460637261,5.8937113402061865,EDWARDIAN PARASOL BLACK,1259.8941395717686,3
15056N,294.0,169.2448916018836,684,0.5756628966050463,5.864236842105263,EDWARDIAN PARASOL NATURAL,1724.0856315789472,3
15056P,59.0,36.89173349139343,143,0.6252836184981937,5.941185185185185,EDWARDIAN PARASOL PINK,350.5299259259259,3
15058A,11.384615384615385,16.730901856238262,55,1.4696062441290365,7.8088235294117645,BLUE POLKADOT GARDEN PARASOL,88.90045248868779,0
15058B,8.846153846153847,12.548878793516135,42,1.4185689070931282,7.8621951219512205,PINK POLKADOT GARDEN PARASOL,69.5501876172608,0
15058C,14.846153846153847,25.816164683669786,84,1.738912647086566,6.35,ICE CREAM DESIGN GARDEN PARASOL,94.27307692307693,0
15060B,31.615384615384617,27.390808864588323,93,0.8663759494881951,3.820315789473684,FAIRY CAKE DESIGN UMBRELLA,120.78075303643725,1
16008,222.46153846153845,265.8055728612599,941,1.1948383289060784,0.13614285714285712,SMALL FOLDING SCISSOR(POINTED EDGE),30.286549450549444,3
16010,2.3076923076923075,4.6076858867298265,12,1.9966638842495916,0.12,FOLDING CAMPING SCISSOR W/KNIF & S,0.2769230769230769,0
16011,134.53846153846155,91.46731236222715,359,0.6798599546649244,0.21,ANIMAL STICKERS,28.253076923076925,1
16012,93.84615384615384,102.93108224587795,360,1.096806614095421,0.21,FOOD/DRINK SPONGE STICKERS,19.707692307692305,1
16014,1025.2307692307693,1185.1350945388851,3606,1.15596910481734,0.4014814814814815,SMALL CHINESE STYLE SCISSOR,411.6111680911681,3
16015,50.92307692307692,80.96548805763018,303,1.5899567141226472,0.48833333333333334,MEDIUM CHINESE STYLE SCISSOR,24.867435897435897,0
